GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
301.0,7.0,,59.0,0.0,Fall 2019,utd,3
308.0,,102.0,7.66,7.0,Fall 2019,utd,3
319.0,,112.0,58.0,60.0,Spring 2019,utd,3
320.0,,108.0,8.1,28.0,Spring 2019,utd,3
311.0,,96.0,7.26,24.0,Spring 2019,utd,3
308.0,,89.0,74.12,24.0,Fall 2018,utd,3
305.0,7.0,,75.0,36.0,Spring 2019,utd,3
308.0,,97.0,8.11,57.0,Spring 2019,utd,3
300.0,,95.0,7.84,18.0,Spring 2019,utd,3
305.0,,82.0,7.42,25.0,Spring 2019,utd,3
306.0,7.0,,0.0,0.0,Spring 2019,utd,3
309.0,7.5,,7.8,13.0,Fall 2019,utd,3
300.0,7.5,,68.0,1.0,Spring 2019,utd,3
307.0,,109.0,69.35,13.0,Spring 2019,utd,3
313.0,,100.0,7.28,12.0,Spring 2019,utd,3
305.0,,106.0,7.6,13.0,Spring 2019,utd,3
299.0,7.0,,6.62,40.0,Spring 2019,utd,3
306.0,7.5,,8.01,0.0,Spring 2019,utd,3
305.0,,99.0,70.4,33.0,Spring 2019,utd,3
,,94.0,67.3,49.0,Spring 2019,utd,3
308.0,,95.0,63.38,35.0,Spring 2019,utd,3
304.0,6.5,,8.5,39.0,Fall 2019,utd,3
306.0,7.0,,78.0,33.0,Spring 2019,utd,3
307.0,,101.0,7.32,14.0,Spring 2019,utd,3
313.0,,96.0,69.3,7.0,Spring 2019,utd,3
301.0,,89.0,62.0,39.0,Fall 2019,utd,3
300.0,,101.0,70.4,60.0,Spring 2019,utd,3
309.0,,0.0,69.5,60.0,Spring 2019,utd,3
311.0,,95.0,6.8,12.0,Spring 2019,utd,3
298.0,,82.0,8.4,4.0,Spring 2019,utd,3
322.0,,115.0,67.9,22.0,Spring 2019,utd,3
298.0,,0.0,81.7,52.0,Spring 2019,utd,3
319.0,,103.0,7.2,27.0,Fall 2018,utd,3
325.0,,105.0,6.32,27.0,Fall 2018,utd,3
305.0,,90.0,9.12,13.0,Fall 2017,utd,3
305.0,7.5,,71.7,50.0,Fall 2020,utd,3
296.0,,87.0,68.0,39.0,Fall 2018,utd,3
303.0,6.5,,8.43,36.0,Fall 2018,utd,3
325.0,,109.0,7.65,0.0,Fall 2018,utd,3
311.0,,87.0,7.43,1.0,Fall 2018,utd,3
302.0,,96.0,8.0,0.0,Fall 2018,utd,3
297.0,,87.0,68.81,2.0,Fall 2018,utd,3
300.0,,82.0,72.89,18.0,Fall 2018,utd,3
302.0,,88.0,8.0,1.0,Fall 2018,utd,3
320.0,,112.0,66.5,15.0,Fall 2017,utd,3
303.0,7.0,,9.24,19.0,Fall 2018,utd,3
300.0,7.0,,8.0,28.0,Fall 2018,utd,3
305.0,,91.0,60.0,60.0,Fall 2020,utd,3
306.0,7.0,,71.0,0.0,Fall 2018,utd,3
304.0,7.0,,75.66,0.0,Fall 2018,utd,3
303.0,,82.0,68.0,0.0,Fall 2018,utd,3
299.0,7.0,,8.36,24.0,Fall 2018,utd,3
328.0,,109.0,6.97,15.0,Fall 2018,utd,3
322.0,,0.0,68.0,30.0,Fall 2018,utd,3
312.0,,0.0,7.34,0.0,Fall 2018,utd,3
310.0,,93.0,7.0,2.0,Fall 2018,utd,3
323.0,,118.0,64.6,22.0,Spring 2019,utd,3
305.0,0.0,,8.8,0.0,Fall 2018,utd,3
319.0,,0.0,6.35,8.0,Fall 2018,utd,3
303.0,,98.0,7.3,30.0,Fall 2018,utd,3
316.0,,109.0,7.3,2.0,Fall 2018,utd,3
309.0,,97.0,80.0,55.0,Fall 2018,utd,3
317.0,,101.0,67.0,18.0,Fall 2018,utd,3
316.0,,113.0,7.86,36.0,Fall 2019,utd,3
314.0,,0.0,7.38,6.0,Fall 2018,utd,3
,6.5,,8.2,0.0,Fall 2018,utd,3
304.0,,103.0,64.0,0.0,Fall 2018,utd,3
303.0,,0.0,8.23,0.0,Fall 2018,utd,3
303.0,,82.0,63.33,0.0,Fall 2018,utd,3
304.0,7.0,,75.0,30.0,Fall 2018,utd,3
308.0,,91.0,63.6,0.0,Fall 2018,utd,3
319.0,,91.0,7.86,0.0,Fall 2018,utd,3
312.0,,0.0,7.24,0.0,Fall 2018,utd,3
312.0,,106.0,7.6,0.0,Fall 2018,utd,3
306.0,,90.0,7.23,35.0,Fall 2018,utd,3
309.0,,90.0,56.1,50.0,Fall 2018,utd,3
315.0,,109.0,7.79,5.0,Fall 2018,utd,3
316.0,,96.0,6.79,45.0,Fall 2018,utd,3
312.0,,101.0,76.0,4.0,Fall 2018,utd,3
303.0,7.0,,82.0,23.0,Spring 2019,utd,3
313.0,,0.0,7.35,23.0,Fall 2018,utd,3
306.0,,100.0,61.1,40.0,Fall 2018,utd,3
313.0,,102.0,7.8,1.0,Fall 2018,utd,3
302.0,,101.0,66.4,31.0,Fall 2018,utd,3
301.0,,94.0,8.9,0.0,Fall 2018,utd,3
320.0,,114.0,70.86,29.0,Fall 2018,utd,3
314.0,,96.0,7.8,5.0,Fall 2018,utd,3
304.0,,91.0,7.27,0.0,Fall 2018,utd,3
299.0,,0.0,7.025,1.0,Fall 2018,utd,3
299.0,7.0,,92.0,60.0,Fall 2018,utd,3
314.0,,0.0,6.94,8.0,Fall 2018,utd,3
320.0,,107.0,74.0,28.0,Fall 2018,utd,3
312.0,,104.0,74.38,6.0,Fall 2018,utd,3
314.0,0.0,,76.0,2.0,Fall 2018,utd,3
300.0,,0.0,72.51,10.0,Fall 2018,utd,3
312.0,,90.0,65.0,15.0,Fall 2018,utd,3
302.0,6.0,,70.0,0.0,Fall 2018,utd,3
311.0,,92.0,7.14,2.0,Fall 2018,utd,3
326.0,,120.0,70.0,1.0,Fall 2018,utd,3
302.0,,90.0,53.0,16.0,Fall 2018,utd,3
322.0,,111.0,7.39,16.0,Fall 2018,utd,3
308.0,,93.0,59.1,33.0,Fall 2018,utd,3
303.0,,102.0,70.0,6.0,Fall 2018,utd,3
310.0,8.0,,6.06,0.0,Fall 2018,utd,3
314.0,,93.0,74.0,3.0,Fall 2018,utd,3
307.0,,111.0,7.0,0.0,Fall 2018,utd,3
299.0,,88.0,66.0,30.0,Fall 2018,utd,3
328.0,,0.0,64.95,0.0,Fall 2018,utd,3
308.0,,87.0,73.4,48.0,Fall 2018,utd,3
303.0,,83.0,8.6,60.0,Fall 2018,utd,3
304.0,,95.0,58.0,48.0,Fall 2018,utd,3
305.0,,105.0,8.23,24.0,Fall 2017,utd,3
308.0,,96.0,7.87,36.0,Fall 2018,utd,3
301.0,,99.0,75.0,47.0,Fall 2019,utd,3
300.0,,94.0,78.0,24.0,Fall 2018,utd,3
304.0,7.0,,62.0,45.0,Fall 2018,utd,3
301.0,,89.0,8.16,12.0,Fall 2018,utd,3
311.0,,106.0,7.9,3.0,Fall 2018,utd,3
318.0,,106.0,7.5,29.0,Fall 2018,utd,3
307.0,6.0,,6.9,26.0,Fall 2018,utd,3
314.0,,110.0,65.58,20.0,Fall 2018,utd,3
315.0,,94.0,7.4,8.0,Fall 2018,utd,3
311.0,,99.0,68.56,27.0,Fall 2018,utd,3
308.0,,87.0,7.5,19.0,Fall 2018,utd,3
308.0,,99.0,8.3,2.0,Fall 2018,utd,3
308.0,8.0,,7.25,1.0,Fall 2018,utd,3
309.0,,97.0,7.75,26.0,Fall 2018,utd,3
300.0,,87.0,8.35,6.0,Fall 2018,utd,3
304.0,,93.0,7.6,29.0,Fall 2018,utd,3
305.0,,108.0,7.9,18.0,Fall 2018,utd,3
328.0,,114.0,7.48,69.0,Fall 2018,utd,3
312.0,0.0,,70.9,0.0,Fall 2014,utd,3
313.0,,101.0,7.8,0.0,Fall 2018,utd,3
298.0,,88.0,58.58,27.0,Fall 2018,utd,3
316.0,,104.0,7.6,21.0,Fall 2018,utd,3
302.0,,96.0,6.65,3.0,Fall 2018,utd,3
328.0,,112.0,7.1,34.0,Fall 2018,utd,3
323.0,,114.0,7.3,4.0,Fall 2018,utd,3
317.0,,101.0,7.86,31.0,Fall 2018,utd,3
